dc_key,dispatch_date,dispatch_time,location_block,text_general_code
202135002435,2021-01-10,11:39:11,5900 BLOCK N BROAD ST,Aggravated Assault No Firearm
202177000352,2021-01-25,07:16:00,0 BLOCK PIA WAY,Thefts
202106001136,2021-01-10,09:00:00,500 BLOCK SPRING GARDEN ST,Thefts
202103003255,2021-01-21,16:10:00,0 BLOCK MIFFLIN ST,Thefts
202106000240,2021-01-02,21:28:00,1200 BLOCK WALNUT ST,Thefts
202103003289,2021-01-21,18:24:00,0 BLOCK MIFFLIN ST,Thefts
202119004798,2021-01-26,17:38:14,6300 BLOCK VINE ST,Aggravated Assault Firearm
202126001355,2021-01-13,12:25:00,900 BLOCK W NORRIS ST,Theft from Vehicle
202124000423,2021-01-02,21:39:13,2400 BLOCK E VENANGO ST 1,Thefts
202107001005,2021-01-14,10:08:13,11000 BLOCK E ROOSEVELT BLVD,Thefts
202107001006,2021-01-14,11:38:00,11000 BLOCK E ROOSEVELT BLVD,Thefts
202107001010,2021-01-14,11:38:00,11000 BLOCK E ROOSEVELT BLVD,Thefts
202107001007,2021-01-14,11:38:16,11000 BLOCK E ROOSEVELT BLVD,Thefts
202107001008,2021-01-14,11:38:18,11000 BLOCK E ROOSEVELT BLVD,Thefts
202107001009,2021-01-14,11:38:20,11000 BLOCK E ROOSEVELT BLVD,Thefts
202112019924,2021-03-22,22:15:00,4500 BLOCK ISLAND AVE,Theft from Vehicle
202109001281,2021-01-14,18:25:00,100 BLOCK N BROAD ST,Theft from Vehicle
202112001983,2021-01-10,08:12:00,6700 BLOCK ESSINGTON AV,Thefts
202112015041,2021-03-03,23:57:00,5700 BLOCK WINDSOR ST,Vandalism/Criminal Mischief
202122024062,2021-04-26,01:52:00,1800 BLOCK W BERKS ST,Vandalism/Criminal Mischief
202124002484,2021-01-11,16:50:37,2800 BLOCK KENSINGRON AV,Aggravated Assault Firearm
202124000222,2021-01-02,01:48:14,2400 BLOCK E VENANGO ST,Robbery Firearm
202114000109,2021-01-01,18:08:56,6700 BLOCK EMLEN ST 504,Aggravated Assault Firearm
202106000181,2021-01-02,14:52:00,500 BLOCK SPRING GARDEN ST,Thefts
202122015540,2021-03-18,13:18:03,N 15TH ST  /  W SUSQUEHANNA AV,Theft from Vehicle
202125023381,2021-04-19,06:30:00,700 BLOCK E Madison St,Weapon Violations
202125023409,2021-04-19,11:11:00,700 BLOCK E MADISON ST,Narcotic / Drug Law Violations
202115026341,2021-04-13,20:56:00,4600 BLOCK Edgemont St,Motor Vehicle Theft
202108011988,2021-04-19,21:11:00,8100 BLOCK CRISPIN ST,Vandalism/Criminal Mischief
202112013560,2021-02-25,22:29:00,5300 BLOCK GREENWAY AVE,Other Assaults
202103008654,2021-02-25,10:14:44,600 BLOCK S 2ND ST,Fraud
202103008655,2021-02-25,10:15:22,600 BLOCK S 2ND ST,Fraud
202106006426,2021-02-16,15:57:35,800 BLOCK SPRUCE ST,Other Assaults
202126000100,2021-01-02,01:40:17,2600 BLOCK N 2ND ST,Burglary Non-Residential
202108004535,2021-02-14,05:47:07,8700 BLOCK FRANKFORD AV,Aggravated Assault No Firearm
202124002446,2021-01-11,14:39:50,2300 BLOCK E ALLEGHENY AV,Thefts
202126008356,2021-03-16,19:38:23,2600 BLOCK B ST,Aggravated Assault No Firearm
202103003901,2021-01-25,08:33:00,0 BLOCK MIFFLIN ST,Thefts
202103003906,2021-01-25,14:12:00,0 BLOCK MIFFLIN ST,Thefts
202124000052,2021-01-01,05:29:21,3300 BLOCK ARAMINGO AV,Burglary Non-Residential
202106001261,2021-01-11,10:01:12,400 BLOCK N 5TH ST,Thefts
202106001276,2021-01-11,11:41:00,400 BLOCK N 5TH ST,Thefts
202106001317,2021-01-11,17:28:00,400 BLOCK N 5TH ST,Thefts
202125001503,2021-01-08,10:33:17,300 BLOCK E HUNTING PARK AV,Rape
202102008216,2021-02-28,15:47:00,7400 BLOCK BUSTLETON AVE,Thefts
202102008217,2021-02-28,16:18:50,7400 BLOCK BUSTLETON AV,Thefts
202102008218,2021-02-28,16:19:06,7400 BLOCK BUSTLETON AV,Thefts
202106001722,2021-01-14,15:23:00,500 BLOCK SPRING GARDEN ST,Thefts
202107001922,2021-01-25,17:04:28,11000 BLOCK E ROOSEVELT BLVD,Thefts
202107001928,2021-01-25,17:19:00,11000 BLOCK E ROOSEVELT BLVD,Thefts
202107001910,2021-01-25,15:16:29,11000 BLOCK E ROOSEVELT BLVD,Thefts
202107001917,2021-01-25,16:32:19,11000 BLOCK E ROOSEVELT BLVD,Thefts
202102008128,2021-02-27,22:23:44,6100 BLOCK PALMETTO ST,Vandalism/Criminal Mischief
202112002921,2021-01-14,09:22:00,8200 BLOCK BARTRAM AVE,Theft from Vehicle
202118005069,2021-01-26,14:51:36,3000 BLOCK MARKET ST,Thefts
202112005350,2021-01-24,23:51:00,4500 BLOCK ISLAND AV,Theft from Vehicle
202107009478,2021-04-23,17:50:00,11000 BLOCK E ROOSEVELT BLVD,Thefts
202114010186,2021-02-25,16:52:00,6800 BLOCK CHEW AVE,All Other Offenses
202102009416,2021-03-09,01:45:01,500 BLOCK SENTNER ST,Other Assaults
202107009479,2021-04-23,17:32:00,11000 BLOCK E ROOSEVELT BLVD,Thefts
202112014850,2021-03-03,10:28:16,2000 BLOCK S 64TH ST,Other Sex Offenses (Not Commercialized)
202122022695,2021-04-19,18:38:00,1900 BLOCK N STANLEY ST,Other Assaults
202126000111,2021-01-02,09:46:00,1400 BLOCK MASCHER ST,Theft from Vehicle
202115006706,2021-01-27,01:11:32,7600 BLOCK FRANKFORD AV,Thefts
202103002182,2021-01-14,21:39:05,0 BLOCK MIFFLIN ST,Thefts
202103002184,2021-01-14,22:16:05,0 BLOCK MIFFLIN ST,Thefts
202106001560,2021-01-13,11:41:14,600 BLOCK N FRONT ST,Robbery No Firearm
202122008815,2021-02-14,17:24:00,1300 BLOCK W LEHIGH AV,Thefts
202139003577,2021-01-21,07:32:44,2800 BLOCK FOX ST,Thefts
202106001027,2021-01-09,08:04:33,600 BLOCK N FRONT ST,Thefts
202106008180,2021-03-01,08:57:00,200 BLOCK S CHRISTOPHER COLUMBUS BLVD,Theft from Vehicle
202135010859,2021-02-12,12:05:00,5800 BLOCK N PARK AV,All Other Offenses
202126001101,2021-01-11,11:00:00,2400 BLOCK TRENTON AV,Theft from Vehicle
202124013015,2021-02-27,10:15:56,3000 BLOCK KENSINGTON AV,Narcotic / Drug Law Violations
202119017607,2021-03-29,11:35:12,N 64TH ST  /  LANSDOWNE AV,Aggravated Assault Firearm
202108006011,2021-02-27,18:39:00,10700 BLOCK KESWICK RD,Other Assaults
202108006012,2021-02-27,18:59:00,10700 BLOCK KESWICK RD,Other Assaults
202103011618,2021-03-14,13:51:36,0 BLOCK MIFFLIN ST,Thefts
202125016421,2021-03-19,13:26:00,3300 BLOCK N 13TH ST,Thefts
202112018648,2021-03-17,21:35:46,6500 BLOCK DICKS AVE,Motor Vehicle Theft
202107001575,2021-01-21,15:05:06,11000 BLOCK E ROOSEVELT BLVD,Thefts
202115006338,2021-01-25,16:26:18,5400 BLOCK BUSTLETON AVE,Aggravated Assault Firearm
202102003504,2021-01-26,10:45:00,4600 BLOCK E ROOSEVELT BLVD,Thefts
202102003576,2021-01-26,17:23:00,4600 BLOCK E ROOSEVELT BLVD,Thefts
202102003043,2021-01-22,17:54:59,4600 BLOCK E ROOSEVELT BLVD,Aggravated Assault No Firearm
202106000041,2021-01-01,09:51:07,400 BLOCK SPRING GARDEN ST,Thefts
